line_idx,line,function,tag,intro
0,"
",E,,1
1,"
",E,,1
2,"
",E,,1
3,"
",E,,1
4,"
",E,,1
5,"                STAR TREK: THE NEXT GENERATION 
",X,series,1
6,"                              
",B,,1
7,"                   ""The Ensigns of Command"" 
",X,episode,1
8,#40273-149,X,serial,1
9,"                              
",B,,1
10,"                          Written by 
",X,,1
11,"                         H. B. Savage 
",X,writer,1
12,"                              
",E,,1
13,"                          Directed by 
",X,,1
14,"                          Cliff Bole 
",X,director,1
15,"
",E,,1
16,"
",E,,1
17,"THE WRITING CREDITS MAY NOT BE FINAL AND SHOULD NOT BE USED
",X,,1
18,"FOR PUBLICITY OR ADVERTISING PURPOSES WITHOUT FIRST CHECKING
",X,,1
19,"WITH THE TELEVISION LEGAL DEPARTMENT.
",X,,1
20,"
",E,,1
21,Copyright 1989 Paramount Pictures Corporation. All Rights,X,,1
22,"Reserved. This script is not for publication or
",X,,1
23,"reproduction. No one is authorized to dispose of same. If
",X,,1
24,"lost or destroyed, please notify the Script Department.
",X,,1
25,"
",E,,1
26,3RD REVISED FINAL DRAFT,X,,1
27," 
",B,,1
28,"JULY 13, 1989",X,date,1
29,"
",E,,1
30,"STAR TREK: ""The Ensigns of Command"" - REV. 7/14/89 - CAST",H,,1
31,"
",E,,1
32,"                STAR TREK: THE NEXT GENERATION 
",X,series,1
33,"                   ""The Ensigns of Command"" 
",X,episode,1
34,"
",E,,1
35,"                             CAST                               
",X,,1
36,"                              
",B,,1
37,"                PICARD                 SHELIAK
",X,cast,1
38,"                RIKER                  
",X,cast,1
39,"                DATA                   ARD'RIAN
",X,cast,1
40,"                BEVERLY                GOSHEVEN
",X,cast,1
41,"                TROI                   HARITATH
",X,cast,1
42,"                GEORDI                 KENTOR
",X,cast,1
43,"                WORF                   
",X,cast,1
44,"                WESLEY                 Non-Speaking
",X,cast,1
45,ENGINEERS (2),X,cast,1
46,O'BRIEN                  OTHER LOCALS (26),X,cast,1
47,"   
",B,,1
48,"                Non-Speaking           
",X,cast,1
49,A VULCAN VIOLINIST     YOUNG BOY (age 12),X,cast,1
50,"                  A WOMAN VIOLIST        BOY'S MOTHER
",X,cast,1
51,N.D. CREWMEMBERS (12),X,cast,1
52,"                  SUPERNUMERARIES (CONN & OPS)
",X,cast,1
53,"
",E,,1
54,"STAR TREK: ""The Ensigns of Command"" - REV. 7/14/89 - SETS",H,,1
55,"
",E,,1
56,"                STAR TREK: THE NEXT GENERATION 
",X,series,1
57,"                   ""The Ensigns of Command"" 
",X,episode,1
58,"                      
",B,,1
59,"                             SETS 
",X,,1
60,"
",E,,1
61,"            INTERIORS                  EXTERIORS
",X,,1
62,"          
",B,,1
63,"            USS ENTERPRISE             USS ENTERPRISE
",X,set,1
64,"              MAIN BRIDGE
",X,set,1
65,"              TEN FORWARD              TAU CYGNA FIVE
",X,set,1
66,"              OBSERVATION LOUNGE         FRONTIER TOWN
",X,set,1
67,"              TRANSPORTER ROOM
",X,set,1
68,"              CAPTAIN'S READY ROOM       TOWN SQUARE
",X,set,1
69,"                                         AQUEDUCT
",X,set,1
70,"                                         PUMPING STATION
",X,set,1
71,"            TAU CYGNA FIVE               DATA'S SHUTTLE
",X,set,1
72,"              ARD'RIAN'S FRONT ROOM
",X,set,1
73,"                                       SHELIAK WARSHIP
",X,set,1
74,"            SHELIAK WARSHIP
",X,set,1
75,"
",E,,1
76,"STAR TREK: ""Ensigns of Command"" - REV. 7/14/89 PRONUNCIATION",H,,1
77,"
",E,,1
78,"                STAR TREK: THE NEXT GENERATION 
",X,series,1
79,"                   ""The Ensigns of Command"" 
",X,episode,1
80,"                 
",B,,1
81,"                      PRONUNCIATION GUIDE 
",X,,1
82,"
",E,,1
83,"              ARD'RIAN               ARD-ree-an
",X,keyword,1
84,"              ARMENS                 ARE-mens
",X,keyword,1
85,"              ARTEMIS                ARE-tih-mus
",X,keyword,1
86,"              GOSHEVEN               GO-sheh-ven
",X,keyword,1
87,"              HARITATH               HAH-ree-tath
",X,keyword,1
88,"              KENTOR                 KEN-tor
",X,keyword,1
89,"              SHELIA                 Shell-LEE-ah
",X,keyword,1
90,"              SHELIAK                SHELL-lee-awk
",X,keyword,1
91,"              S'SMARITH              Ss-sa-MAH-rith
",X,keyword,1
